,Date,Open,High,Low,Close,Volume
0,2020-04-23 00:00,422.6199736371637,7158.7,7108.0,829.2892035255209,81.59
1,2020-04-23 01:00,361.33799670883,7192.82,7118.33,995.3841106442234,175.45
2,2020-04-23 02:00,418.2144474535497,7193.13,7129.19,460.7340339664229,131.63
3,2020-04-23 03:00,441.56727980264156,7163.41,7117.97,720.6137452176596,227.12
4,2020-04-23 04:00,391.6458103005491,7137.92,7102.62,509.3590128919442,60.48
5,2020-04-23 05:00,282.6460668338109,7142.48,7098.86,258.360153944672,90.99
6,2020-04-23 06:00,379.39574716157205,7103.31,7031.07,298.1254698338131,452.96
7,2020-04-23 07:00,352.0999630805972,7081.85,7038.45,649.3651210879495,87.46
8,2020-04-23 08:00,369.5239011547135,7108.19,7055.0,851.92356706285,161.56
9,2020-04-23 09:00,427.8676177390077,7111.38,7056.42,973.3750111714423,203.53
10,2020-04-23 10:00,408.44846099146156,7113.61,7068.72,576.7645608166133,124.44
11,2020-04-23 11:00,377.27108046211373,7155.63,7068.48,457.4096825312814,251.9
12,2020-04-23 12:00,349.96632582779995,7199.0,7118.61,1059.0250134797054,1500.24
13,2020-04-23 13:00,282.95203153277663,7274.37,7159.81,731.4173648101935,1605.26
14,2020-04-23 14:00,326.7381382456322,7756.69,7257.68,737.8354063031719,3734.63
15,2020-04-23 15:00,334.17989586571986,7566.55,7473.0,837.1166061059648,1554.19
16,2020-04-23 16:00,326.62888573785415,7618.13,7489.89,603.7583233811644,768.85
17,2020-04-23 17:00,384.31248233053157,7564.72,7511.62,582.031831045148,965.39
18,2020-04-23 18:00,343.5852549027517,7578.25,7517.45,1365.2012488520377,235.44
19,2020-04-23 19:00,305.7489114230132,7550.73,7515.5,909.9761048819527,377.48
20,2020-04-23 20:00,331.93944143554046,7570.77,7528.52,788.5944720665366,124.17
21,2020-04-23 21:00,285.1365995606654,7619.35,7537.95,848.5907058937745,874.26
22,2020-04-23 22:00,324.9401543420741,7611.96,7550.01,677.5464149611875,176.03
23,2020-04-23 23:00,325.59273956295795,7574.48,7447.7,309.6944556378927,814.5
24,2020-04-24 00:00,347.31696501993946,7528.52,7475.89,664.9589814676116,91.67
25,2020-04-24 01:00,317.82406756305136,7526.35,7466.07,675.6242137840018,88.52
26,2020-04-24 02:00,372.13839888851516,7536.84,7480.91,1151.829989496538,69.95
27,2020-04-24 03:00,392.0522663987119,7564.72,7507.45,1079.1240564630243,128.69
